Landéan;ILLE ET VILAINE;CC Fougères Communauté;BRETAGNE;88.502963536;83.620496569;85.343803552;351420000;35142;1;243500147;35142;35;53;351420000;Landéan (commune non irisée);Landéan;ILLE-ET-VILAINE;Landéan;BRETAGNE;53;Commune non découpée en IRIS;63.681707968;67.139366678;62.511995178;92.287106948;98.565814321;94.152388912;64.319599622;80.175161794;76.260938913;123.523829355;94.351634973;108.312751564;73.216840961;77.614849226;73.058793089;103.789086111;89.626143913;97.628814014
Bruz;ILLE ET VILAINE;Rennes Métropole;BRETAGNE;100.452217499;96.290734317;99.981764126;350470103;35047;1;243500139;35047;35;53;350470103;Bruz Centre Sud Ouest;Bruz;ILLE-ET-VILAINE;Bruz Centre Sud Ouest;BRETAGNE;53;Iris d'habitat;97.272696052;81.841579562;95.705227449;109.521463913;104.526414022;111.735082023;107.342844873;80.777325792;127.271720965;95.651802051;114.378753481;84.736663436;101.355618672;89.403191049;101.048512307;99.548816325;103.178277584;98.915015945
Hirel;ILLE ET VILAINE;CA du Pays de Saint Malo - Saint Malo Agglomération;BRETAGNE;101.012996190;89.598559540;97.521548247;351320000;35132;1;243500782;35132;35;53;351320000;Hirel (commune non irisée);Hirel;ILLE-ET-VILAINE;Hirel;BRETAGNE;53;Commune non découpée en IRIS;99.496916372;85.540169466;97.894141772;90.902102232;91.823585215;92.739390856;60.437600857;78.719377573;71.658222597;127.872220655;97.984027760;112.471696244;96.631978325;87.634641382;96.175891467;105.394014056;91.562477698;98.867205028
Lanloup;COTES D ARMOR;CC Paimpol Goëlo;BRETAGNE;115.915324681;112.177675108;117.092015351;221090000;22109;1;242214294;22109;22;53;221090000;Lanloup (commune non irisée);Lanloup;COTES-D'ARMOR;Lanloup;BRETAGNE;53;Commune non découpée en IRIS;152.945783771;148.079031373;146.760486365;98.598347614;96.518133030;96.448669731;68.293942619;81.535273504;57.828303506;111.354045154;99.427290685;127.377073070;134.829971719;130.892065259;129.989880820;97.000677642;93.463284958;104.194149882
Rennes;ILLE ET VILAINE;Rennes Métropole;BRETAGNE;119.770959132;107.755766335;123.422262844;352380401;35238;1;243500139;35238;35;53;352380401;Jean Ogée;Rennes;ILLE-ET-VILAINE;Jean Ogee;BRETAGNE;53;Iris d'habitat;124.860366386;105.209593319;122.773423475;97.005320335;92.581106145;98.965965548;227.149873839;170.934163189;269.321680401;72.374913923;86.300071020;63.349542083;115.575351036;101.000097594;114.837604166;123.966567228;114.511435076;132.006921522
Le Drennec;FINISTERE;CC du Pays des Abers;BRETAGNE;76.832475172;88.707731244;77.331255884;290470000;29047;1;242900553;29047;29;53;290470000;Le Drennec (commune non irisée);Le Drennec;FINISTERE;Le Drennec;BRETAGNE;53;Commune non découpée en IRIS;60.271684316;77.548024531;63.741335981;102.802597529;100.453244275;102.650090542;91.166834349;105.368694088;89.300163856;73.241025262;85.664200021;72.277304473;74.448655387;85.183097779;76.710920834;79.216294957;92.232364710;77.951590934
Guénin;MORBIHAN;CC Baud Communauté;BRETAGNE;84.625072255;91.297813260;83.733188864;560740000;56074;1;245600515;56074;56;53;560740000;Guénin (commune non irisée);Guénin;MORBIHAN;Guénin;BRETAGNE;53;Commune non découpée en IRIS;85.069076847;99.535724885;83.709905083;97.109488596;101.069502303;96.389933603;94.101952333;105.010619653;83.416340361;73.200419454;71.317653916;77.586524528;89.082547430;100.046984025;87.936581256;80.167597080;82.548642495;79.529796472
Saint-Perreux;MORBIHAN;CC du Pays de Redon;BRETAGNE;91.084543164;94.672161221;90.825040408;562320000;56232;1;243500741;56232;56;53;562320000;Saint-Perreux (commune non irisée);Saint-Perreux;MORBIHAN;Saint-Perreux;BRETAGNE;53;Commune non découpée en IRIS;72.357180666;80.991677577;71.201967168;102.304690698;109.555368539;101.546640665;94.443061647;99.523861292;83.718715498;102.522572652;98.485191169;108.640475974;82.339684010;90.512907898;81.316858334;99.829402317;98.831414543;100.333222482
Guilliers;MORBIHAN;CC du Porhoët;BRETAGNE;103.629295845;102.281411196;104.010895409;560800000;56080;1;245614425;56080;56;53;560800000;Guilliers (commune non irisée);Guilliers;MORBIHAN;Guilliers;BRETAGNE;53;Commune non découpée en IRIS;81.441794482;94.546687435;80.208004090;91.109231315;103.529236665;90.434136602;101.764876900;118.958630606;90.209112541;133.009038945;101.053612516;141.503057566;84.664273426;97.540870512;83.616714927;122.594318263;107.021951880;124.405075891
Landavran;ILLE ET VILAINE;CA Vitré Communauté;BRETAGNE;64.991283102;72.689044445;65.897437526;351410000;35141;1;200039022;35141;35;53;351410000;Landavran (commune non irisée);Landavran;ILLE-ET-VILAINE;Landavran;BRETAGNE;53;Commune non découpée en IRIS;52.312711945;67.050816600;51.486325518;100.487431903;103.331695332;102.518456610;82.289674323;101.312348816;97.567271308;51.272584249;48.694294661;46.163123101;68.370951931;79.144442844;68.497035882;61.611614274;66.233646046;63.297839170
Brest;FINISTERE;Brest Métropole;BRETAGNE;137.931083548;125.803970085;140.228596717;290190129;29019;1;242900314;29019;29;53;290190129;Quizac;Brest;FINISTERE;Quizac;BRETAGNE;53;Iris d'habitat;187.623038073;149.436168082;198.603469394;93.794248328;93.750508364;93.655105168;115.148103240;77.755130218;112.790408492;121.699036788;142.222922883;118.859563928;156.346774824;130.874281509;163.620681318;119.515392272;120.733658661;116.836512116
Saint-Coulomb;ILLE ET VILAINE;CA du Pays de Saint Malo - Saint Malo Agglomération;BRETAGNE;84.435701290;75.810328532;81.244173842;352630000;35263;1;243500782;35263;35;53;352630000;Saint-Coulomb (commune non irisée);Saint-Coulomb;ILLE-ET-VILAINE;Saint-Coulomb;BRETAGNE;53;Commune non découpée en IRIS;51.437350773;45.020839846;50.424791174;113.493580554;114.644075433;115.787482008;57.778733358;75.256228944;68.505719578;116.233596142;87.459993563;101.161129558;72.122760700;68.228585041;72.212354785;96.748641881;83.392072024;90.275992898
Rennes;ILLE ET VILAINE;Rennes Métropole;BRETAGNE;140.503762487;123.549959216;146.140210860;352380603;35238;1;243500139;35238;35;53;352380603;Le Gallet-les Longs Champs Nord;Rennes;ILLE-ET-VILAINE;Le Gallet Les Longs Champs Nord;BRETAGNE;53;Iris d'habitat;181.271198339;152.909011639;178.161765073;97.005320335;92.581106145;98.965965548;263.054803873;197.953236834;311.892587125;60.210027019;72.473694520;54.829591170;153.182572338;132.799709808;151.763165231;127.824952637;114.300208625;140.517256489
Gévezé;ILLE ET VILAINE;Rennes Métropole;BRETAGNE;80.612926987;77.095216031;81.082178122;351200000;35120;1;243500139;35120;35;53;351200000;Gévezé (commune non irisée);Gévezé;ILLE-ET-VILAINE;Gévezé;BRETAGNE;53;Commune non découpée en IRIS;67.055656814;56.606517398;65.885075288;106.261065068;101.414715298;108.408784882;98.003682352;73.749446342;116.198684025;72.650750436;87.097049875;65.057724626;80.124126232;71.542583364;80.059645152;81.101727741;82.647848698;82.104711092
Rennes;ILLE ET VILAINE;Rennes Métropole;BRETAGNE;160.138074399;148.852049732;159.266974991;352380501;35238;1;243500139;35238;35;53;352380501;Emmanuel Mounier;Rennes;ILLE-ET-VILAINE;Emmanuel Mounier;BRETAGNE;53;Iris d'habitat;253.837751938;212.688256940;250.168481797;97.005320335;92.581106145;98.965965548;118.268378103;88.998976320;140.225648339;118.939622041;143.077851023;108.036636234;201.560274737;172.652540008;199.767643047;118.715874062;125.051559455;118.766306936
